date,Open,High,Low,Close,Adjusted Close,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-11-20,228.06,229.93,225.89,229.0,229.0,35169600,35169600,0.94,0.41217,228.22,"November 20, 24",0.0041217
2024-11-19,226.98,230.16,226.66,228.28,228.28,36211800,36211800,1.3,0.57274,228.02,"November 19, 24",0.0057274
2024-11-18,225.25,229.74,225.17,228.02,228.02,44686020,44686020,2.77,1.23,227.045,"November 18, 24",0.0123
2024-11-15,226.4,226.92,224.27,225.0,225.0,47923700,47923700,-1.4,-0.61837,225.6475,"November 15, 24",-0.0061837
2024-11-14,225.02,228.87,225.0,228.22,228.22,44923941,44923941,3.2,1.42,226.7775,"November 14, 24",0.0142
2024-11-13,224.01,226.65,222.76,225.12,225.12,48566217,48566217,1.11,0.49551,224.635,"November 13, 24",0.0049551
2024-11-12,224.55,225.59,223.36,224.23,224.23,40398300,40398300,-0.32,-0.14251,224.4325,"November 12, 24",-0.0014251
2024-11-11,225.0,225.7,221.5,224.23,224.23,42005602,42005602,-0.77,-0.34222,224.1075,"November 11, 24",-0.0034222
2024-11-08,227.17,228.66,226.41,226.96,226.96,38328824,38328824,-0.21,-0.09244178,227.3,"November 08, 24",-0.0009244178
2024-11-07,224.63,227.88,224.57,227.48,227.23,42137700,42137700,2.85,1.27,226.14,"November 07, 24",0.0127
2024-11-06,222.61,226.07,221.19,222.72,222.48,54561121,54561121,0.11,0.04941377,223.1475,"November 06, 24",0.0004941377
2024-11-05,221.8,223.95,221.14,223.45,223.2,28111338,28111338,1.66,0.74391,222.585,"November 05, 24",0.0074391
2024-11-04,220.99,222.79,219.71,222.01,221.77,44944500,44944500,1.02,0.46156,221.375,"November 04, 24",0.0046156
2024-11-01,220.97,225.35,220.27,222.91,222.67,65276741,65276741,1.94,0.87795,222.375,"November 01, 24",0.0087795
2024-10-31,229.34,229.83,225.37,225.91,225.66,64370100,64370100,-3.43,-1.5,227.6125,"October 31, 24",-0.015
2024-10-30,232.61,233.47,229.55,230.1,229.85,47070907,47070907,-2.51,-1.08,231.4325,"October 30, 24",-0.0108
2024-10-29,233.1,234.33,232.32,233.67,233.41,35417247,35417247,0.57,0.24453,233.355,"October 29, 24",0.0024453
2024-10-28,233.32,234.73,232.55,233.4,233.14,36087134,36087134,0.08,0.03428767,233.5,"October 28, 24",0.0003428767
2024-10-25,229.74,233.22,229.57,231.41,231.16,38802304,38802304,1.67,0.72691,230.985,"October 25, 24",0.0072691
2024-10-24,229.98,230.82,228.41,230.57,230.32,31109503,31109503,0.59,0.25654,229.945,"October 24, 24",0.0025654
2024-10-23,234.08,235.14,227.76,230.76,230.51,52287000,52287000,-3.32,-1.42,231.935,"October 23, 24",-0.0142
2024-10-22,233.89,236.22,232.6,235.86,235.6,38846600,38846600,1.98,0.84228,234.6425,"October 22, 24",0.0084228
2024-10-21,234.45,236.85,234.45,236.48,236.22,36254500,36254500,2.03,0.86586,235.5575,"October 21, 24",0.0086586
2024-10-18,236.18,236.18,234.01,235.0,234.74,46431500,46431500,-1.18,-0.49962,235.3425,"October 18, 24",-0.0049962
2024-10-17,233.43,233.85,230.52,232.15,231.89,32993810,32993810,-1.28,-0.54834,232.4875,"October 17, 24",-0.0054834
2024-10-16,231.6,232.12,229.84,231.78,231.53,34082240,34082240,0.18,0.07772021,231.335,"October 16, 24",0.0007772021
2024-10-15,233.61,237.49,232.37,233.85,233.59,64751400,64751400,0.24,0.10274,234.33,"October 15, 24",0.0010274
2024-10-14,228.7,231.73,228.6,231.3,231.05,39882100,39882100,2.6,1.14,230.0825,"October 14, 24",0.0114
2024-10-11,229.3,229.41,227.34,227.55,227.3,31759200,31759200,-1.75,-0.76319,228.4,"October 11, 24",-0.0076319
2024-10-10,227.78,229.5,227.17,229.04,228.79,28183544,28183544,1.26,0.55317,228.3725,"October 10, 24",0.0055317
2024-10-09,225.23,229.75,224.83,229.54,229.29,33591100,33591100,4.31,1.91,227.3375,"October 09, 24",0.0191
2024-10-08,224.3,225.98,223.25,225.77,225.52,31855700,31855700,1.47,0.65537,224.825,"October 08, 24",0.0065537
2024-10-07,224.5,225.69,221.33,221.69,221.45,39505400,39505400,-2.81,-1.25,223.3025,"October 07, 24",-0.0125
2024-10-04,227.9,228.0,224.13,226.8,226.55,37345098,37345098,-1.1,-0.48267,226.7075,"October 04, 24",-0.0048267
2024-10-03,225.14,226.81,223.32,225.67,225.42,34044200,34044200,0.53,0.23541,225.235,"October 03, 24",0.0023541
2024-10-02,225.89,227.37,223.02,226.78,226.53,32880605,32880605,0.89,0.394,225.765,"October 02, 24",0.00394
2024-10-01,229.52,229.65,223.74,226.21,225.96,63285048,63285048,-3.31,-1.44,227.28,"October 01, 24",-0.0144
